ANNB,M01,D03,ANNB-M01-D03,制御棒駆動機構周辺温度高,102,29030,-2147454618,3,,,,0,ＯＮ,ＯＦＦ,,,,,,,,,,,,,,,,,,,
ANNB,M01,D04,ANNB-M01-D04,予備,102,29031,-2147454617,3,,,,0,ＯＮ,ＯＦＦ,,,,,,,,,,,,,,,,,,,
ANNB,M01,D05,ANNB-M01-D05,予備,102,29032,-2147454616,3,,,,0,ＯＮ,ＯＦＦ,,,,,,,,,,,,,,,,,,,
ANNB,M01,D06,ANNB-M01-D06,復水貯蔵槽水位低,102,29033,-2147454615,3,,,,0,ＯＮ,ＯＦＦ,,,,,,,,,,,,,,,,,,,
ANNB,M01,D07,ANNB-M01-D07,ＬＰＣＰ（Ａ）シール水流量低,102,29034,-2147454614,3,,,,0,ＯＮ,ＯＦＦ,,,,,,,,,,,,,,,,,,,
ANNB,M01,D08,ANNB-M01-D08,ＬＰＣＰ（Ｂ）シール水流量低,102,29035,-2147454613,3,,,,0,ＯＮ,ＯＦＦ,,,,,,,,,,,,,,,,,,,
ANNB,M01,D09,ANNB-M01-D09,ＬＰＣＰ（Ｃ）シール水流量低,102,29036,-2147454612,3,,,,0,ＯＮ,ＯＦＦ,,,,,,,,,,,,,,,,,,,
ANNB,M01,E01,ANNB-M01-E01,ＣＲＤサクションフィルタ差圧高,102,29037,-2147454611,3,,,,0,ＯＮ,ＯＦＦ,,,,,,,,,,,,,,,,,,,
ANNB,M01,E02,ANNB-M01-E02,ＣＲＤ駆動水フィルタ差圧高,102,29038,-2147454610,3,,,,0,ＯＮ,ＯＦＦ,,,,,,,,,,,,,,,,,,,
ANNB,M01,E03,ANNB-M01-E03,ＣＲＤ加熱器盤異常,102,29039,-2147454609,3,,,,0,ＯＮ,ＯＦＦ,,,,,,,,,,,,,,,,,,,
ANNB,M01,E04,ANNB-M01-E04,ＣＲＤ加熱器出口温度高高,102,29040,-2147454608,3,,,,0,ＯＮ,ＯＦＦ,,,,,,,,,,,,,,,,,,,
ANNB,M01,E05,ANNB-M01-E05,原子炉系制御装置異常,102,29041,-2147454607,3,,,,0,ＯＮ,ＯＦＦ,,,,,,,,,,,,,,,,,,,
ANNB,M01,E06,ANNB-M01-E06,復水貯蔵槽漏水大,102,29042,-2147454606,3,,,,0,ＯＮ,ＯＦＦ,,,,,,,,,,,,,,,,,,,
ANNB,M01,E07,ANNB-M01-E07,予備,102,29043,-2147454605,3,,,,0,ＯＮ,ＯＦＦ,,,,,,,,,,,,,,,,,,,
ANNB,M01,E08,ANNB-M01-E08,予備,102,29044,-2147454604,3,,,,0,ＯＮ,ＯＦＦ,,,,,,,,,,,,,,,,,,,
ANNB,M01,E09,ANNB-M01-E09,ユニット監視制御盤コントロ−ラ故障,102,29045,-2147454603,3,,,,0,ＯＮ,ＯＦＦ,,,,,,,,,,,,,,,,,,,
ANNB,M02,A01,ANNB-M02-A01,ＨＰＣＰ（Ａ）トリップ,102,29046,-2147454602,3,,,,0,ＯＮ,ＯＦＦ,,,,,,,,,,,,,,,,,,,
ANNB,M02,A02,ANNB-M02-A02,ＨＰＣＰ（Ｂ）トリップ,102,29047,-2147454601,3,,,,0,ＯＮ,ＯＦＦ,,,,,,,,,,,,,,,,,,,
ANNB,M02,A03,ANNB-M02-A03,ＨＰＣＰ（Ｃ）トリップ,102,29048,-2147454600,3,,,,0,ＯＮ,ＯＦＦ,,,,,,,,,,,,,,,,,,,
ANNB,M02,A04,ANNB-M02-A04,予備,102,29049,-2147454599,3,,,,0,ＯＮ,ＯＦＦ,,,,,,,,,,,,,,,,,,,
ANNB,M02,A05,ANNB-M02-A05,予備,102,29050,-2147454598,3,,,,0,ＯＮ,ＯＦＦ,,,,,,,,,,,,,,,,,,,
ANNB,M02,A06,ANNB-M02-A06,Ｍ／Ｄ−ＲＦＰ（Ａ）トリップ,102,29051,-2147454597,3,,,,0,ＯＮ,ＯＦＦ,,,,,,,,,,,,,,,,,,,
ANNB,M02,A07,ANNB-M02-A07,予備,102,29052,-2147454596,3,,,,0,ＯＮ,ＯＦＦ,,,,,,,,,,,,,,,,,,,
ANNB,M02,A08,ANNB-M02-A08,Ｍ／Ｄ−ＲＦＰ（Ｂ）トリップ,102,29053,-2147454595,3,,,,0,ＯＮ,ＯＦＦ,,,,,,,,,,,,,,,,,,,
ANNB,M02,A09,ANNB-M02-A09,予備,102,29054,-2147454594,3,,,,0,ＯＮ,ＯＦＦ,,,,,,,,,,,,,,,,,,,
ANNB,M02,B01,ANNB-M02-B01,ＨＰＣＰ（Ａ）電気故障,102,29055,-2147454593,3,,,,0,ＯＮ,ＯＦＦ,,,,,,,,,,,,,,,,,,,
ANNB,M02,B02,ANNB-M02-B02,ＨＰＣＰ（Ｂ）電気故障,102,29056,-2147454592,3,,,,0,ＯＮ,ＯＦＦ,,,,,,,,,,,,,,,,,,,
ANNB,M02,B03,ANNB-M02-B03,ＨＰＣＰ（Ｃ）電気故障,102,29057,-2147454591,3,,,,0,ＯＮ,ＯＦＦ,,,,,,,,,,,,,,,,,,,
ANNB,M02,B04,ANNB-M02-B04,予備,102,29058,-2147454590,3,,,,0,ＯＮ,ＯＦＦ,,,,,,,,,,,,,,,,,,,
ANNB,M02,B05,ANNB-M02-B05,予備,102,29059,-2147454589,3,,,,0,ＯＮ,ＯＦＦ,,,,,,,,,,,,,,,,,,,
ANNB,M02,B06,ANNB-M02-B06,Ｍ／Ｄ−ＲＦＰ（Ａ）電気故障,102,29060,-2147454588,3,,,,0,ＯＮ,ＯＦＦ,,,,,,,,,,,,,,,,,,,
ANNB,M02,B07,ANNB-M02-B07,Ｍ／Ｄ−ＲＦＰ（Ａ）軸受油圧低,102,29061,-2147454587,3,,,,0,ＯＮ,ＯＦＦ,,,,,,,,,,,,,,,,,,,
ANNB,M02,B08,ANNB-M02-B08,Ｍ／Ｄ−ＲＦＰ（Ｂ）電気故障,102,29062,-2147454586,3,,,,0,ＯＮ,ＯＦＦ,,,,,,,,,,,,,,,,,,,
ANNB,M02,B09,ANNB-M02-B09,Ｍ／Ｄ−ＲＦＰ（Ｂ）軸受油圧低,102,29063,-2147454585,3,,,,0,ＯＮ,ＯＦＦ,,,,,,,,,,,,,,,,,,,
ANNB,M02,C01,ANNB-M02-C01,ＨＰＣＰ（Ａ）吸込圧力低,102,29064,-2147454584,3,,,,0,ＯＮ,ＯＦＦ,,,,,,,,,,,,,,,,,,,
ANNB,M02,C02,ANNB-M02-C02,ＨＰＣＰ（Ｂ）吸込圧力低,102,29065,-2147454583,3,,,,0,ＯＮ,ＯＦＦ,,,,,,,,,,,,,,,,,,,
ANNB,M02,C03,ANNB-M02-C03,ＨＰＣＰ（Ｃ）吸込圧力低,102,29066,-2147454582,3,,,,0,ＯＮ,ＯＦＦ,,,,,,,,,,,,,,,,,,,
